,0,1
270,1702944000,176829.33371562013
271,1703030400,205703.545788742
272,1703116800,301139.9976501672
273,1703203200,224292.35910827943
274,1703289600,201872.9212409173
275,1703376000,194046.62633146482
276,1703462400,182880.47394185798
277,1703548800,152695.62553966336
278,1703635200,226744.31870066977
279,1703721600,246458.69403353726
280,1703808000,215454.39070858373
281,1703894400,205013.3337251922
282,1703980800,191570.1023331377
283,1704067200,174804.79320437353
284,1704153600,139756.58696561758
285,1704240000,164624.23567282784
286,1704326400,191432.14042645675
287,1704412800,193213.08444035638
288,1704499200,164175.74936510425
289,1704585600,149696.47864376023
290,1704672000,192748.3608423607
291,1704758400,199383.6669769327
292,1704844800,195173.86685973534
293,1704931200,211355.52572466686
294,1705017600,200671.8647472315
295,1705104000,210398.26465806636
296,1705190400,165286.2946423943
297,1705276800,187560.0833069881
298,1705363200,185353.23972731724
299,1705449600,199819.01117982029
300,1705536000,263249.119797156
301,1705622400,226963.10473632714
302,1705708800,214436.1436720545
303,1705795200,192856.13712541448
304,1705881600,190703.98350721507
305,1705968000,167388.13527468275
306,1706054400,158016.23572459663
307,1706140800,155329.2221057624
308,1706227200,217186.12635334156
309,1706313600,167940.79279645678
310,1706400000,138684.4471719918
311,1706486400,136862.47416248784
312,1706572800,139231.3027207863
313,1706659200,257009.88121488158
314,1706745600,263094.9792898088
315,1706832000,238333.2859978524
316,1706918400,187480.44994373168
317,1707004800,200653.59549489876
318,1707091200,187016.3642045062
319,1707177600,189673.92213007974
320,1707264000,235466.49207713315
321,1707350400,239306.0
322,1707436800,267876.0
323,1707523200,172333.0
324,1707609600,166425.0
325,1707696000,210742.0
326,1707782400,180371.0
327,1707868800,196522.0
328,1707955200,310030.0
329,1708041600,262806.0
330,1708128000,225321.0
331,1708214400,260911.0
332,1708300800,297379.0
333,1708387200,293018.0
334,1708473600,418613.0
335,1708560000,385530.0
336,1708646400,383473.0
337,1708732800,434303.0
338,1708819200,511852.0
339,1708905600,507006.0
340,1708992000,471833.0
341,1709078400,503516.0
342,1709164800,643316.0
343,1709251200,573744.0
344,1709337600,359041.0
345,1709424000,456698.0
346,1709510400,413043.0
347,1709596800,399660.0
348,1709683200,373056.0
349,1709769600,397614.0
350,1709856000,423532.0
351,1709942400,374761.0
352,1710028800,380109.0
353,1710115200,388703.0
354,1710201600,263711.0
355,1710288000,349547.0
356,1710374400,379669.0
357,1710460800,306545.0
358,1710547200,99420.0
359,1710633600,153173.0
360,1710720000,115629.0
361,1710806400,92033.0
362,1710892800,60636.0
363,1710979200,63074.0
364,1711065600,53496.0
365,1711152000,51847.0
366,1711238400,54292.0
367,1711324800,48946.0
368,1711411200,50079.0
369,1711497600,57499.0
370,1711584000,63877.0
371,1711670400,49866.0
372,1711756800,66884.0
373,1711843200,58085.0
374,1711929600,56151.0
375,1712016000,53160.0
376,1712102400,55603.0
377,1712188800,45894.0
378,1712275200,36533.0
379,1712361600,37671.0
380,1712448000,41694.0
381,1712534400,39130.0
382,1712620800,43333.0
383,1712707200,48566.0
384,1712793600,37312.0
385,1712880000,34058.0
386,1712966400,39711.0
387,1713052800,37054.0
388,1713139200,31243.0
389,1713225600,33667.0
390,1713312000,32401.0
391,1713398400,34516.0
392,1713484800,13712.0
393,1713571200,0.0
394,1713657600,0.0
395,1713744000,0.0
396,1713830400,0.0
397,1713916800,146377.0
398,1714003200,34868.0
399,1714089600,33433.0
400,1714176000,28792.0
401,1714262400,21720.0
402,1714348800,22836.0
403,1714435200,24001.0
404,1714521600,29392.0
405,1714608000,24462.0
406,1714694400,22249.0
407,1714780800,22792.0
408,1714867200,19392.0
409,1714953600,17934.0
410,1715040000,20577.0
411,1715126400,22916.0
412,1715212800,18585.0
413,1715299200,18614.0
414,1715385600,19202.0
415,1715472000,16058.0
416,1715558400,14442.0
